folio,ordenpersona,diaentrevista,mesentrevista,horaentrevista,minutoentrevista,sexo,parentesco,mesnacimiento,agnonacimiento,tenencialicenciaconducir,tenenciatne,tenenciatarjetaadultomayor,escolaridadcurso,escolaridadnivel,escolaridadtitulo,actividadtrabaja,actividadestudia,actividadjubilado,actividadduenacasa,actividadbuscatrabajo1vez,actividadcesante,actividadotro,actividadotro_e,ocupacionprincipal,actividadeconomica,jornadatrabajo,dondeestudia,lugartrabajocomuna,lugarestudiocomuna,realizoviaje,lugardiaregistroviaje,motivonoviaje,motivonoviaje_e,lugarcomienzodia,sector_lugariniciodia,horasalidahora,horasalidaminuto,numeroviajes,viajescaminata,numeroetapas,freqcaminata,freqprivado,freqbus,freqcolectivo,freqbicicleta,freqavion,comprascomuna,saludcomuna,saludcomunaesp,usotic,usotranspub,percepcioningresos,montoingresopersonal,tramoingresopersonal,montogastotransporte,conocimientocampana,campanadiario,campanaradio,campanatelevision,campanaafiche,campanapasacalle,campanapersonas,edad,tramoedad,ingresopersonal,factorexpansionp
10211,1,16,6,15,0,Mujeres,Jefe(a) de hogar,5,1964,Licencia no profesional B,No,No aplica,5,Profesionales,Si,No,No,No,No,No,No,Si,Trabajo independiente,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,12.0,0.0,2,1,2,Diario,Semanal,Semanal,Nunca,Mensual,Anual,Si,Si,Desconocido,Si,Si,No responde,Desconocido,No responde,20000,No,No,No,No,No,No,No,58,De 30 a 64 años,Desconocido,"5,391"
10212,1,17,6,14,15,Mujeres,Jefe(a) de hogar,4,1940,No,No,No,5,Primarios (Basica o Preparatoria),Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,9.0,45.0,2,0,2,Nunca,Nunca,Nunca,Semanal,Nunca,Nunca,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,5000,No,No,No,No,No,No,No,82,Mas de 65 años,245000.0,"4,115"
10221,1,16,6,14,10,Hombre,Jefe(a) de hogar,2,1943,Licencia no profesional B,No,No,8,Primarios (Basica o Preparatoria),Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,10.0,0.0,2,2,2,Diario,Mensual,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,10000,No,No,No,No,No,No,No,79,Mas de 65 años,245000.0,"17,096"
10221,2,16,6,14,0,Mujeres,Conyuge o Pareja,9,1942,No,No,No,8,Primarios (Basica o Preparatoria),Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por enfermedad,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Nunca,Mensual,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,0,Si,No,Si,No,No,No,No,79,Mas de 65 años,245000.0,"10,226"
10222,1,17,6,15,40,Hombre,Jefe(a) de hogar,2,1972,"Licencia profesional A1, A2, A3, A4, A5",No,No aplica,5,Universitarios completos,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Industria,Jornada completa (40 hrs o mas semanales),No aplica,San gregorio,Desconocido,No,En otra direccion,Por trabajo,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Semanal,Nunca,Nunca,Mensual,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,No responde,40000,No,No,No,No,No,No,No,50,De 30 a 64 años,Desconocido,"9,21"
10222,2,17,6,15,50,Mujeres,Conyuge o Pareja,11,1983,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,40.0,8,0,8,Diario,Diario,Nunca,Diario,Mensual,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,100000,Si,No,No,No,Si,No,No,38,De 30 a 64 años,0.0,"14,586"
10222,3,17,6,16,0,Hombre,Hija o Hijo,9,2006,No,No,No aplica,1,Secundarios (Media o Humanidades),Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,"Escuela, liceo, colegio",Desconocido,Puerto Natales,No,En la direccion donde se realiza la encuesta,Por enfermedad,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Diario,Nunca,Diario,Mensual,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,15,De 14 a 18 años,0.0,"13,71"
10222,4,17,6,16,10,Mujeres,Hija o Hijo,5,2011,No,No,No aplica,4,Primarios (Basica o Preparatoria),Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,"Escuela, liceo, colegio",Desconocido,Puerto Natales,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,40.0,4,0,4,Diario,Diario,Nunca,Semanal,Mensual,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,11,De 5 a 13 años,0.0,"15,536"
10231,1,17,6,13,0,Hombre,Jefe(a) de hogar,4,1960,Licencia no profesional B,No,No,2,Profesionales,Si,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En otra direccion,Por enfermedad,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $703.001 y $821.000,50000,No,No,No,No,No,No,No,62,De 30 a 64 años,469500.0,"9,698"
10231,2,17,6,13,10,Mujeres,Conyuge o Pareja,9,1970,Licencia no profesional B,No,No aplica,2,Profesionales,Si,Si,No,No,No,No,No,No,No aplica,['Trabajador por cuenta propia'],Servicio,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,12.0,0.0,2,0,2,Diario,Diario,Nunca,Nunca,Semanal,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $395.001 y $560.000,20000,No,No,No,No,No,No,No,51,De 30 a 64 años,362500.0,"5,103"
10231,3,17,6,13,20,Hombre,Hija o Hijo,1,1994,Licencia no profesional B,No,No aplica,5,Universitarios completos,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector publico'],Salud,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,8.0,50.0,5,2,5,Diario,Diario,Nunca,Nunca,Mensual,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $821.001 y 1.035.000,50000,Si,No,No,No,Si,No,No,28,De 19 a 29 años,624500.0,"25,808"
10232,1,17,6,13,40,Hombre,Jefe(a) de hogar,7,1972,Licencia no profesional B,No,No aplica,5,Universitarios completos,Si,No,No,No,No,No,No,Si,Licencia/Postnatal,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,40.0,4,0,4,Nunca,Diario,Diario,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,No responde,100000,Si,No,Si,No,No,Si,No,49,De 30 a 64 años,Desconocido,"4,822"
10232,2,17,6,13,50,Mujeres,Conyuge o Pareja,9,1973,Licencia no profesional B,No,No aplica,5,Universitarios completos,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector publico'],Salud,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,50.0,5,0,5,Diario,Diario,Nunca,Nunca,Anual,Anual,Si,No,Punta Arenas,Si,No,"Si, tiene ingresos",Desconocido,No responde,140000,Si,No,Si,No,No,Si,No,48,De 30 a 64 años,Desconocido,"5,103"
10232,3,17,6,14,0,Mujeres,Hija o Hijo,4,2009,No,No,No aplica,6,Primarios (Basica o Preparatoria),Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,"Escuela, liceo, colegio",Desconocido,Puerto Natales,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,40.0,4,0,4,Diario,Diario,Nunca,Diario,Mensual,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,13,De 5 a 13 años,0.0,"8,135"
10241,1,20,5,16,2,Mujeres,Jefe(a) de hogar,9,1967,No,No,No aplica,5,Universitarios completos,Si,Si,No,No,Si,No,No,No,No aplica,['Empleado u obrero del sector publico'],Educacion,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,45.0,4,0,4,Semanal,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",1000000.0,Entre $821.001 y 1.035.000,40000,No,No,No,No,No,No,No,54,De 30 a 64 años,1000000.0,"10,312"
10241,2,20,5,16,15,Hombre,Conyuge o Pareja,6,1961,Licencia no profesional B,No,No,4,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Trabajador por cuenta propia'],Industria,Ocasional,No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,45.0,8,0,8,Semanal,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $703.001 y $821.000,50000,No,No,No,No,No,No,No,60,De 30 a 64 años,469500.0,"10,626"
10242,1,19,5,18,53,Hombre,Jefe(a) de hogar,6,1955,No,No,No,5,Pre-basico,Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,9.0,30.0,3,0,3,Mensual,Nunca,Nunca,Semanal,Nunca,Nunca,Si,Si,Desconocido,No,Si,No responde,Desconocido,No responde,30000,No,No,No,No,No,No,No,66,Mas de 65 años,Desconocido,"9,073"
10242,2,19,5,18,59,Mujeres,Conyuge o Pareja,8,1958,No,No,No,3,Secundarios (Media o Humanidades),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En otra direccion,Por enfermedad,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Nunca,Mensual,Nunca,Mensual,Nunca,Nunca,Si,Si,Desconocido,No,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,63,De 30 a 64 años,0.0,"12,027"
10251,1,20,5,17,51,Mujeres,Jefe(a) de hogar,6,1993,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Comercio,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,9.0,0.0,4,1,4,Diario,Diario,Mensual,Semanal,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",350000.0,Entre $245.001 y $395.000,10000,No,No,No,No,No,No,No,28,De 19 a 29 años,350000.0,"56,342"
10251,2,20,5,18,3,Hombre,Conyuge o Pareja,8,1991,Licencia no profesional B,No,No aplica,3,Profesionales,No,No,No,No,No,No,No,Si,Desempleo/Búsqueda activa,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,9.0,0.0,4,0,4,Semanal,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,No,No,No tiene ingresos,Desconocido,No responde,50000,No,No,No,No,No,No,No,30,De 30 a 64 años,0.0,"24,107"
10252,1,19,5,14,17,Mujeres,Jefe(a) de hogar,9,1956,No,No,No,8,Primarios (Basica o Preparatoria),Desconocido,No,No,No,No,No,No,Si,Pensionado/a,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,14.0,30.0,2,2,2,Diario,Semanal,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,5000,No,No,No,No,No,No,No,65,Mas de 65 años,245000.0,"7,123"
10252,2,19,5,14,1,Hombre,Hija o Hijo,6,1994,Licencia no profesional B,No,No aplica,5,Universitarios completos,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Servicio,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,8.0,30.0,4,0,4,Diario,Diario,Nunca,Nunca,Diario,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $1.035.001 y $1.275.000,60000,No,No,No,No,No,No,No,27,De 19 a 29 años,757500.0,"29,787"
10252,3,19,5,14,24,Hombre,Hija o Hijo,9,1992,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Industria,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,8.0,30.0,2,2,2,Diario,Nunca,Nunca,Semanal,Semanal,Nunca,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $560.001 y $703.000,20000,No,No,No,No,No,No,No,29,De 19 a 29 años,423000.0,"29,787"
10261,1,20,5,11,9,Hombre,Jefe(a) de hogar,9,1959,No,No,No,7,Primarios (Basica o Preparatoria),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Industria,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,45.0,4,2,4,Diario,Nunca,Nunca,Nunca,Diario,Nunca,Si,Si,Desconocido,No,Si,No responde,Desconocido,No responde,0,No,No,No,No,No,No,No,62,De 30 a 64 años,Desconocido,"10,626"
10261,2,20,5,10,58,Mujeres,Conyuge o Pareja,8,1959,No,No,No,2,Profesionales,No,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,10.0,45.0,2,0,2,Semanal,Nunca,Nunca,Diario,Nunca,Nunca,Si,Si,Desconocido,No,Si,No responde,Desconocido,No responde,100000,No,No,No,No,No,No,No,62,De 30 a 64 años,Desconocido,"12,027"
10262,1,8,8,15,0,Mujeres,Jefe(a) de hogar,3,1952,No,No,No,6,Primarios (Basica o Preparatoria),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,16.0,0.0,2,2,2,Diario,Nunca,Nunca,Mensual,Nunca,Nunca,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,2000,Si,No,Si,No,No,No,No,70,Mas de 65 años,245000.0,"5,764"
10262,2,8,8,15,10,Hombre,Conyuge o Pareja,1,1961,No,No,No,8,Primarios (Basica o Preparatoria),Desconocido,No,No,No,No,No,Si,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Nunca,Nunca,Anual,Nunca,Nunca,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,0,Si,No,Si,No,No,No,No,61,De 30 a 64 años,0.0,"10,626"
10271,1,8,8,13,30,Mujeres,Jefe(a) de hogar,4,1989,No,No,No aplica,4,Universitarios incompletos,No,No,No,No,No,No,No,Si,Licencia/Postnatal,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por enfermedad,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Mensual,Semanal,Semanal,Nunca,Anual,Si,Si,Desconocido,Si,No,No responde,Desconocido,No responde,20000,No,No,No,No,No,No,No,33,De 30 a 64 años,Desconocido,"31,337"
10271,2,8,8,13,40,Mujeres,Hija o Hijo,4,2007,No,No,No aplica,1,Secundarios (Media o Humanidades),Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,"Escuela, liceo, colegio",Desconocido,Puerto Natales,No,En la direccion donde se realiza la encuesta,Por estudio,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Diario,Nunca,Nunca,Mensual,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,40000,No,No,No,No,No,No,No,15,De 14 a 18 años,0.0,"20,039"
10272,1,18,5,20,3,Mujeres,Jefe(a) de hogar,10,1987,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Diario,Nunca,Mensual,Nunca,Nunca,Si,Si,Desconocido,No,No,No tiene ingresos,Desconocido,No responde,15000,No,No,No,No,No,No,No,34,De 30 a 64 años,0.0,"14,975"
10281,1,19,5,15,12,Hombre,Jefe(a) de hogar,4,1951,No,No,No,1,Primarios (Basica o Preparatoria),Desconocido,Si,No,No,No,No,No,No,No aplica,['Trabajador por cuenta propia'],Comercio,Ocasional,No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,16.0,30.0,2,2,2,Diario,Nunca,Nunca,Mensual,Nunca,Nunca,Si,Si,Desconocido,No,No,No responde,Desconocido,No responde,10000,No,No,No,No,No,No,No,71,Mas de 65 años,Desconocido,"7,363"
10282,1,19,5,17,51,Mujeres,Jefe(a) de hogar,11,1933,No,No,No,4,Primarios (Basica o Preparatoria),Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Mensual,Mensual,Nunca,Anual,Nunca,Nunca,Si,Si,Desconocido,No,No,"Si, tiene ingresos",280000.0,Entre $245.001 y $395.000,10000,No,No,No,No,No,No,No,88,Mas de 65 años,280000.0,"5,764"
10282,2,19,5,17,36,Mujeres,Hija o Hijo,10,1954,No,No,No,3,Primarios (Basica o Preparatoria),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Mensual,Nunca,Nunca,Diario,Nunca,Nunca,Si,Si,Desconocido,No,No,"Si, tiene ingresos",180000.0,Menos de $245.000,25000,No,No,No,No,No,No,No,67,Mas de 65 años,180000.0,"5,764"
10291,1,18,5,11,0,Mujeres,Jefe(a) de hogar,8,1977,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Servicio domestico puertas afuera'],"Habitacional (Servicio domestico, enfermera a domicilio)",Jornada parcial (menos de 40hrs semanales),No aplica,Puerto natales,Desconocido,No,En la direccion donde se realiza la encuesta,Por descanso,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Diario,Nunca,Nunca,Mensual,Anual,Si,Si,Desconocido,No,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,100000,No,No,No,No,No,No,No,44,De 30 a 64 años,245000.0,"12,741"
10291,2,18,5,11,14,Hombre,Conyuge o Pareja,6,1973,"Licencia profesional A1, A2, A3, A4, A5",No,No aplica,2,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Industria,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,30.0,2,0,2,Diario,Diario,Nunca,Mensual,Semanal,Anual,Si,Si,Desconocido,No,No,"Si, tiene ingresos",Desconocido,Entre $395.001 y $560.000,150000,No,No,No,No,No,No,No,48,De 30 a 64 años,362500.0,"13,993"
10291,3,18,5,11,42,Mujeres,Hija o Hijo,5,2002,No,No,No aplica,1,Profesionales,No,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,Centro de formacion tecnica,Desconocido,Punta Arenas,No,En la direccion donde se realiza la encuesta,Por descanso,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Mensual,Diario,Diario,Mensual,Nunca,Si,Si,Desconocido,Si,No,No responde,Desconocido,No responde,50000,No,No,No,No,No,No,No,20,De 19 a 29 años,Desconocido,"11,37"
10292,1,19,5,15,39,Hombre,Jefe(a) de hogar,12,1950,Licencia no profesional B,No,No,6,Universitarios completos,Si,Si,No,No,No,No,No,No,No aplica,['Familiar no remunerado'],Comercio,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,14.0,48.0,4,0,4,Semanal,Diario,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,Si,No,No responde,Desconocido,No responde,80000,No,No,No,No,No,No,No,71,Mas de 65 años,Desconocido,"11,21"
10292,2,19,5,15,28,Mujeres,Conyuge o Pareja,12,1953,No,No,No,8,Universitarios completos,Si,Si,No,No,Si,No,No,No,No aplica,['Familiar no remunerado'],Comercio,Ocasional,No aplica,Puerto natales,Desconocido,No,En la direccion donde se realiza la encuesta,Por descanso,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,No responde,Desconocido,No responde,60000,No,No,No,No,No,No,No,68,Mas de 65 años,Desconocido,"7,123"
10292,3,19,5,15,50,Mujeres,Hija o Hijo,8,1975,No,No,No aplica,8,Universitarios completos,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Salud,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,14.0,55.0,2,0,2,Semanal,Diario,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,No,No,No responde,Desconocido,No responde,80000,No,No,No,No,No,No,No,46,De 30 a 64 años,Desconocido,"12,741"
10301,1,20,5,17,17,Mujeres,Jefe(a) de hogar,2,1988,Licencia no profesional B,No,No aplica,5,Universitarios completos,Si,Si,No,No,Si,No,No,No,No aplica,['Empleado u obrero del sector publico'],Salud,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,No,En la direccion donde se realiza la encuesta,Por enfermedad,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $1.275.001 y $1.726.000,60000,No,No,No,No,No,No,No,34,De 30 a 64 años,1088500.0,"56,342"
10301,2,20,5,17,21,Hombre,Hija o Hijo,2,2015,No,No,No aplica,1,Primarios (Basica o Preparatoria),Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,"Escuela, liceo, colegio",Desconocido,Puerto Natales,No,En la direccion donde se realiza la encuesta,Por enfermedad,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,No,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,7,De 5 a 13 años,0.0,"15,099"
10302,1,20,5,11,34,Hombre,Jefe(a) de hogar,7,1963,"Licencia profesional A1, A2, A3, A4, A5",No,No aplica,8,Primarios (Basica o Preparatoria),Desconocido,Si,No,No,No,No,No,No,No aplica,['Trabajador por cuenta propia'],Otro,Ocasional,No aplica,Puerto natales,Desconocido,No,En la direccion donde se realiza la encuesta,Por descanso,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Diario,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,No,No,No responde,Desconocido,No responde,40000,No,No,No,No,No,No,No,58,De 30 a 64 años,Desconocido,"10,626"
10302,2,20,5,11,41,Mujeres,Conyuge o Pareja,11,1957,No,No,No,4,Secundarios (Media o Humanidades),Desconocido,Si,No,Si,No,No,No,No,No aplica,['Trabajador por cuenta propia'],Otro,Ocasional,No aplica,Puerto natales,Desconocido,No,En la direccion donde se realiza la encuesta,Por descanso,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Diario,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,No,No,No responde,Desconocido,No responde,0,No,No,No,No,No,No,No,64,De 30 a 64 años,Desconocido,"12,027"
10311,1,4,8,16,0,Mujeres,Jefe(a) de hogar,1,1975,Licencia no profesional B,No,No aplica,3,Profesionales,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector publico'],Sector Publico,Ocasional,No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,8.0,15.0,2,0,2,Diario,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,No responde,70000,No,No,No,No,No,No,No,47,De 30 a 64 años,Desconocido,"8,368"
10312,1,20,5,12,45,Hombre,Jefe(a) de hogar,5,1967,Licencia no profesional B,No,No aplica,3,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Trabajador por cuenta propia'],Servicio,Ocasional,No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,9.0,30.0,2,0,2,Semanal,Semanal,Nunca,Semanal,Nunca,Nunca,Si,Si,Desconocido,No,No,No responde,Desconocido,No responde,20000,No,No,No,No,No,No,No,55,De 30 a 64 años,Desconocido,"11,325"
10312,2,20,5,12,55,Mujeres,Conyuge o Pareja,2,1969,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,9.0,30.0,2,0,2,Semanal,Mensual,Nunca,Semanal,Nunca,Nunca,Si,Si,Desconocido,No,No,No responde,Desconocido,No responde,20000,No,No,No,No,No,No,No,53,De 30 a 64 años,Desconocido,"10,312"
